PESEL		Title			First_name	Last_name	Gender		Date_of_birth	ProfessorID
45103195683	Distinguished_Prof	Gregory		Watson		Male		31.10.1945	12027
45110124953	Full_Professor		Neil		Price		Male		01.11.1945	10844
45110337751	Research_Professor	Nicole		Reyes		Female		03.11.1945	11469
45110390953	Research_Associate	Rebecca		Jones		Female		03.11.1945	10962
45110645687	Research_Associate	Paul		Jackson		Male		06.11.1945	11467
45110990512	Endowed_Prof		Sam		Carter		Male		09.11.1945	11329
45111007544	Full_Professor		Harry		Sanchez		Male		10.11.1945	11987
45111662828	Research_Professor	John		Gray		Male		16.11.1945	10815
45120755280	Distinguished_Prof	Nicole		Taylor		Female		07.12.1945	11733
45120897636	Research_Professor	Emily		Moore		Female		08.12.1945	10496
45123020185	Distinguished_Prof	Maisy		Reyes		Female		30.12.1945	10068
46012648715	Instructor		Marvin		Gomez		Male		26.01.1946	10009
46013027943	Assistant_Professor	Lily		Butler		Female		30.01.1946	12172
46020377344	Research_Associate	Racherl		Scott		Female		03.02.1946	10594
46020617422	Lecturer		Jeffrey		Bennett		Male		06.02.1946	11942
46020871413	Endowed_Prof		Nicole		Edwards		Female		08.02.1946	11376
46020886878	Distinguished_Prof	Todd		Martinez	Male		08.02.1946	10252
46021054618	Instructor		Fiora		Williams	Female		10.02.1946	10699
46022886824	Full_Professor		Sarah		Robinson	Female		28.02.1946	12156
46030431205	Research_Professor	Adrian		Hernandez	Male		04.03.1946	10475
46031477360	Research_Associate	Zach		Cooper		Male		14.03.1946	11925
46031592557	Assistant_Professor	Emma		Ross		Female		15.03.1946	12024
46032884169	Associate_Professor	Marvin		Cox		Male		28.03.1946	11414
46032991311	Associate_Professor	Valentina	Howard		Female		29.03.1946	11842
46041117531	Distinguished_Prof	Lenny		Diaz		Male		11.04.1946	10138
46041912674	Associate_Professor	Ryan		Taylor		Male		19.04.1946	11300
46050480187	Assistant_Professor	Xena		Anderson	Female		04.05.1946	10161
46050684666	Endowed_Prof		Samantha	Rodriguez	Female		06.05.1946	11069
46050724186	Associate_Professor	Zach		Cook		Male		07.05.1946	10191
46051028442	Research_Professor	Hannah		Ross		Female		10.05.1946	12136
46052509797	Endowed_Prof		Steven		Richardson	Male		25.05.1946	10193
46052841952	Instructor		Margaret	Young		Female		28.05.1946	10204
46060362786	Associate_Professor	Owen		Rodriguez	Male		03.06.1946	10867
46060677339	Adjunct_Professor	Barbara		Ross		Female		06.06.1946	10737
46061082913	Full_Professor		Sherri		Diaz		Female		10.06.1946	10227
46061550370	Adjunct_Professor	Sidney		Bennett		Female		15.06.1946	10818
46062773942	Lecturer		Sarah		Green		Female		27.06.1946	11992
46070449690	Research_Professor	Fiora		Allen		Female		04.07.1946	11846
46070628217	Assistant_Professor	Katie		Taylor		Female		06.07.1946	11028
46070700778	Research_Associate	Kevin		Brooks		Male		07.07.1946	10181
46072516528	Endowed_Prof		Hannah		Walker		Female		25.07.1946	10527
46073170136	Adjunct_Professor	David		Clark		Male		31.07.1946	11873
46080642712	Research_Associate	Fiora		Bailey		Female		06.08.1946	11973
46080771095	Endowed_Prof		Jacob		Murphy		Male		07.08.1946	10481
46081107500	Full_Professor		Todd		Myers		Male		11.08.1946	10528
46081249401	Distinguished_Prof	Joseph		Cook		Male		12.08.1946	11550
46081588256	Research_Professor	William		Hall		Male		15.08.1946	12121
46082431147	Assistant_Professor	Martin		Moore		Male		24.08.1946	11979
46082874934	Lecturer		Aaron		Johnson		Male		28.08.1946	10273
46090207653	Research_Professor	Sarah		Martinez	Female		02.09.1946	10963
46091556262	Associate_Professor	Todd		Cox		Male		15.09.1946	11447
46092209759	Instructor		Todd		Richardson	Male		22.09.1946	10692
46092734347	Associate_Professor	Lily		Hernandez	Female		27.09.1946	12129
46092771941	Instructor		Paige		Barnes		Female		27.09.1946	11778
46092949150	Research_Associate	Tamia		Scott		Female		29.09.1946	10773
46093047141	Assistant_Professor	Evan		Smith		Male		30.09.1946	10443
46100566443	Distinguished_Prof	Terrance	Allen		Male		05.10.1946	11817
46101780038	Associate_Professor	Amy		Murphy		Female		17.10.1946	11007
46110810223	Research_Associate	Anthony		Nguyen		Male		08.11.1946	10088
46111528682	Lecturer		Magdalene	Richardson	Female		15.11.1946	10759
46120324313	Research_Professor	Donny		Phillips	Male		03.12.1946	11061
46120581330	Endowed_Prof		Carter		Peterson	Male		05.12.1946	11946
46121552277	Instructor		Taya		Russell		Female		15.12.1946	10802
47010283387	Research_Associate	Brian		King		Male		02.01.1947	11772
47010574395	Associate_Professor	Joshua		Adams		Male		05.01.1947	12140
47010857736	Full_Professor		Matthew		Powell		Male		08.01.1947	12097
47011272597	Associate_Professor	Terrance	Bell		Male		12.01.1947	10471
47011374325	Adjunct_Professor	Alexander	Ramirez		Male		13.01.1947	11195
47012056845	Assistant_Professor	Martin		Baker		Male		20.01.1947	11147
47012768307	Associate_Professor	Tim		Long		Male		27.01.1947	11553
47020334711	Instructor		Zia		Jackson		Female		03.02.1947	11442
47020783824	Associate_Professor	Jessica		Ortiz		Female		07.02.1947	11063
47020807044	Endowed_Prof		Tom		Clark		Male		08.02.1947	12177
47021066831	Instructor		Tom		Walker		Male		10.02.1947	11875
47021845252	Associate_Professor	Dorothy		Evans		Female		18.02.1947	11573
47021848721	Full_Professor		Eric		Rogers		Male		18.02.1947	11969
47021919562	Research_Professor	Dorothy		Carter		Female		19.02.1947	10103
47022208997	Research_Professor	Oliver		Reed		Male		22.02.1947	11895
47022527673	Research_Associate	Steven		Butler		Male		25.02.1947	11727
47022823409	Assistant_Professor	Jared		Cruz		Male		28.02.1947	11864
47032477419	Full_Professor		Sophia		Brown		Female		24.03.1947	11370
47032828352	Lecturer		Claire		Bell		Female		28.03.1947	11434
47041046742	Associate_Professor	Zoey		Gomez		Female		10.04.1947	10123
47041610839	Endowed_Prof		Alexander	Cooper		Male		16.04.1947	11182
47042140475	Full_Professor		Adrian		Torres		Male		21.04.1947	10850
47051340175	Endowed_Prof		Ryan		Moore		Male		13.05.1947	10515
47052132663	Research_Professor	Emma		Gray		Female		21.05.1947	10203
47052240783	Distinguished_Prof	Michael		Reed		Male		22.05.1947	11603
47052870667	Lecturer		Jessica		Phillips	Female		28.05.1947	11348
47052928954	Adjunct_Professor	Ben		Morris		Male		29.05.1947	11697
47052995631	Associate_Professor	Nathan		Lee		Male		29.05.1947	11844
47060120031	Associate_Professor	David		Collins		Male		01.06.1947	10211
47061401902	Assistant_Professor	Ginny		Harris		Female		14.06.1947	11113
47062343139	Research_Professor	Christopher	Foster		Male		23.06.1947	10570
47070174576	Research_Associate	Alexander	Ross		Male		01.07.1947	11100
47070205645	Distinguished_Prof	Alice		Gutierrez	Female		02.07.1947	10260
47072460113	Assistant_Professor	Valentina	Young		Female		24.07.1947	10137
47072563986	Associate_Professor	Darren		Anderson	Male		25.07.1947	12130
47072594305	Research_Professor	Oliver		Barnes		Male		25.07.1947	11683
47072842537	Distinguished_Prof	Arthur		Ross		Male		28.07.1947	11696
47080647720	Adjunct_Professor	Magdalene	Miller		Female		06.08.1947	10887
47082272966	Full_Professor		Linda		Johnson		Female		22.08.1947	11140
47082429208	Assistant_Professor	Amy		Miller		Female		24.08.1947	10701
47082515807	Assistant_Professor	Joseph		Robinson	Male		25.08.1947	10135
47090526823	Distinguished_Prof	Ben		Ross		Male		05.09.1947	11174
47091043290	Research_Associate	Madison		Miller		Female		10.09.1947	10705
47091429433	Instructor		Darren		Baker		Male		14.09.1947	11532
47092516530	Lecturer		Zoe		Lewis		Female		25.09.1947	10364
47092517224	Research_Professor	Abby		Turner		Female		25.09.1947	11923
47100111911	Endowed_Prof		Tom		Morales		Male		01.10.1947	11805
47100586185	Adjunct_Professor	George		Ortiz		Male		05.10.1947	10095
47100708944	Instructor		Zia		Torres		Female		07.10.1947	10828
47101188905	Full_Professor		William		Rodriguez	Male		11.10.1947	10019
47101205409	Research_Associate	Bella		Barnes		Female		12.10.1947	10662
47101388819	Lecturer		Sophia		Morgan		Female		13.10.1947	10725
47101534014	Assistant_Professor	Tim		Miller		Male		15.10.1947	12173
47101692814	Endowed_Prof		Anthony		Torres		Male		16.10.1947	10809
47102940027	Full_Professor		Taya		Ramirez		Female		29.10.1947	11099
47103052798	Research_Professor	Gareth		Robinson	Male		30.10.1947	11913
47103118653	Adjunct_Professor	Anthony		Russell		Male		31.10.1947	11785
47111517625	Lecturer		Kevin		King		Male		15.11.1947	11207
47112014304	Adjunct_Professor	Elizabeth	Brooks		Female		20.11.1947	12008
47112503509	Assistant_Professor	Sophie		Evans		Female		25.11.1947	12110
47112927197	Adjunct_Professor	Jacob		Smith		Male		29.11.1947	10816
47120220420	Endowed_Prof		Zoe		Jenkins		Female		02.12.1947	10936
47120229249	Endowed_Prof		Liam		Peterson	Male		02.12.1947	12100
47120286517	Distinguished_Prof	Carl		Cook		Male		02.12.1947	11961
47120889264	Research_Associate	Alexander	Cruz		Male		08.12.1947	10939
47120892918	Research_Professor	Madison		Baker		Female		08.12.1947	11002
47121904269	Research_Professor	Arthur		Ross		Male		19.12.1947	10683
47121917019	Endowed_Prof		Luke		Davis		Male		19.12.1947	12048
47122750950	Associate_Professor	Matthew		Ward		Male		27.12.1947	11991
47122846767	Endowed_Prof		Paul		Allen		Male		28.12.1947	11240
48010133144	Distinguished_Prof	Xena		Rogers		Female		01.01.1948	10981
48010271698	Distinguished_Prof	Zach		Hall		Male		02.01.1948	10405
48011811688	Research_Professor	Nathan		Sanchez		Male		18.01.1948	10332
48011950068	Research_Associate	Brandon		Martinez	Male		19.01.1948	10109
48012105248	Research_Professor	Calista		Bailey		Female		21.01.1948	11268
48012105644	Full_Professor		Elizabeth	Lewis		Female		21.01.1948	11547
48020383912	Research_Professor	Adam		Phillips	Male		03.02.1948	10549
48021358563	Distinguished_Prof	John		Russell		Male		13.02.1948	10192
48021890660	Associate_Professor	Sam		Parker		Male		18.02.1948	10820
48021989834	Adjunct_Professor	Lucy		Carter		Female		19.02.1948	10127
48030989467	Instructor		Corina		Evans		Female		09.03.1948	10817
48031121866	Adjunct_Professor	Joshua		Wood		Male		11.03.1948	10910
48031606367	Assistant_Professor	Shannon		Ramirez		Female		16.03.1948	10399
48032663183	Endowed_Prof		Jake		Collins		Male		26.03.1948	10729
48032693187	Endowed_Prof		Elizabeth	Bennett		Female		26.03.1948	10865
48040588559	Endowed_Prof		Jared		Parker		Male		05.04.1948	11332
48040679132	Associate_Professor	Tom		Wright		Male		06.04.1948	11681
48041079295	Endowed_Prof		Jessica		Lopez		Female		10.04.1948	11921
48041131366	Adjunct_Professor	Gary		Adams		Male		11.04.1948	10574
48041197798	Distinguished_Prof	Megan		Richardson	Female		11.04.1948	12145
48041385390	Lecturer		Joseph		Morris		Male		13.04.1948	11867
48041394289	Lecturer		Simon		Bell		Male		13.04.1948	11074
48041469640	Distinguished_Prof	Gregory		Jones		Male		14.04.1948	11382
48041815893	Distinguished_Prof	Patricia	Morgan		Female		18.04.1948	10307
48042800603	Research_Professor	Ashley		Hernandez	Female		28.04.1948	10199
48043059050	Research_Professor	Steven		Davis		Male		30.04.1948	10545
48050117018	Adjunct_Professor	Alice		Williams	Female		01.05.1948	11855
48050155010	Research_Professor	Patricia	Peterson	Female		01.05.1948	11500
48060179805	Assistant_Professor	Rebecca		Price		Female		01.06.1948	10017
48062284682	Adjunct_Professor	Zoe		Rivera		Female		22.06.1948	10462
48062680225	Lecturer		Zoe		Myers		Female		26.06.1948	10388
48062864844	Research_Professor	Rebecca		Perez		Female		28.06.1948	11038
48070422460	Instructor		Amy		Bennett		Female		04.07.1948	11096
48070844980	Instructor		Sarah		Gonzales	Female		08.07.1948	11386
48071181914	Adjunct_Professor	Gareth		Perry		Male		11.07.1948	10899
48072039057	Research_Associate	Amber		White		Female		20.07.1948	11953
48072139136	Research_Associate	Fiora		Ortiz		Female		21.07.1948	10430
48072670236	Lecturer		Emma		Kelly		Female		26.07.1948	10540
48072981877	Distinguished_Prof	Emma		Murphy		Female		29.07.1948	12096
48080460897	Lecturer		Rebecca		Roberts		Female		04.08.1948	11072
48080582635	Assistant_Professor	Arthur		Anderson	Male		05.08.1948	11239
48081978316	Assistant_Professor	Frederick	Price		Male		19.08.1948	11535
48082404666	Research_Associate	Lauren		Price		Female		24.08.1948	10598
48082931195	Research_Professor	Maisy		Harris		Female		29.08.1948	11087
48083079377	Instructor		Dylan		Powell		Male		30.08.1948	11661
48090432756	Research_Professor	Gareth		Gomez		Male		04.09.1948	12026
48091365715	Research_Associate	Rebecca		Cruz		Female		13.09.1948	11117
48091677583	Distinguished_Prof	Joseph		Flores		Male		16.09.1948	11131
48092302940	Instructor		Amanda		Howard		Female		23.09.1948	10440
48092863356	Instructor		Ben		Brooks		Male		28.09.1948	10656
48101521295	Associate_Professor	Susan		Stewart		Female		15.10.1948	10059
48101819976	Distinguished_Prof	Ryan		Flores		Male		18.10.1948	11198
48110659254	Lecturer		Zoey		Nguyen		Female		06.11.1948	10066
48110802356	Research_Associate	Christopher	Turner		Male		08.11.1948	11521
48111690245	Research_Associate	Amanda		Diaz		Female		16.11.1948	11581
48111703624	Assistant_Professor	Zena		Miller		Female		17.11.1948	10852
48112411553	Adjunct_Professor	Amber		Jones		Female		24.11.1948	11011
48112584431	Research_Professor	Liam		White		Male		25.11.1948	10374
48112990444	Research_Professor	Katie		Martin		Female		29.11.1948	10882
48112991163	Lecturer		Liam		Davis		Male		29.11.1948	10571
48120644926	Research_Associate	Liam		Wood		Male		06.12.1948	11723
48120727280	Lecturer		Lauren		Reed		Female		07.12.1948	11013
48121613784	Adjunct_Professor	Kevin		Flores		Male		16.12.1948	11394
48122274692	Research_Professor	Clea		Hughes		Female		22.12.1948	11905
48122605976	Full_Professor		Emma		Brown		Female		26.12.1948	11669
48122696537	Lecturer		Claire		Walker		Female		26.12.1948	11335
48122817562	Full_Professor		Megan		Clark		Female		28.12.1948	12039
49011062505	Instructor		Kevin		Davis		Male		10.01.1949	11183
49012131369	Research_Professor	Luke		Walker		Male		21.01.1949	11729
49020727395	Research_Associate	James		Moore		Male		07.02.1949	10197
49020854405	Assistant_Professor	Garrett		Thompson	Male		08.02.1949	11230
49021295121	Research_Professor	Cassandra	Scott		Female		12.02.1949	10044
49021495381	Endowed_Prof		Garrett		Johnson		Male		14.02.1949	11331
49021905052	Adjunct_Professor	Racherl		Rivera		Female		19.02.1949	10460
49022016210	Distinguished_Prof	Nicole		Brown		Female		20.02.1949	12107
49022429632	Full_Professor		Chloe		Cooper		Female		24.02.1949	11538
49022819123	Full_Professor		Alice		Bailey		Female		28.02.1949	11333
49031248786	Research_Associate	Jared		Taylor		Male		12.03.1949	10122
49032845869	Instructor		Taya		Stewart		Female		28.03.1949	10960
49033079806	Associate_Professor	Brian		Rodriguez	Male		30.03.1949	11204
49040652626	Associate_Professor	Anthony		Young		Male		06.04.1949	11365
49041777947	Research_Associate	Carter		Evans		Male		17.04.1949	11516
49042337970	Adjunct_Professor	Darren		Russell		Male		23.04.1949	10432
49042352263	Research_Associate	Liam		Rodriguez	Male		23.04.1949	11356
49051285416	Research_Professor	Simon		Powell		Male		12.05.1949	11797
49051684290	Associate_Professor	Sidney		Jackson		Female		16.05.1949	11927
49051776223	Adjunct_Professor	Adrian		Green		Male		17.05.1949	11076
49052827167	Distinguished_Prof	Alice		Miller		Female		28.05.1949	11777
49052861455	Research_Associate	Larry		Hall		Male		28.05.1949	11288
49060659921	Distinguished_Prof	Eric		Campbell	Male		06.06.1949	11877
49060846783	Full_Professor		Racherl		Rodriguez	Female		08.06.1949	10028
49062137797	Research_Associate	Brad		Carter		Male		21.06.1949	11749
49062821432	Research_Associate	Jeffrey		Lopez		Male		28.06.1949	10436
49063092214	Endowed_Prof		Michael		Carter		Male		30.06.1949	11452
49070681682	Research_Associate	John		Thompson	Male		06.07.1949	11260
49071403305	Research_Professor	Steven		Peterson	Male		14.07.1949	10905
49072220762	Research_Professor	Eric		Gutierrez	Male		22.07.1949	11815
49072646923	Full_Professor		Sam		Thomas		Male		26.07.1949	10531
49073180637	Associate_Professor	Sam		Peterson	Male		31.07.1949	10353
49080772383	Adjunct_Professor	Harry		Martin		Male		07.08.1949	11201
49081675525	Assistant_Professor	Sidney		Wood		Female		16.08.1949	11478
49090409618	Adjunct_Professor	Amy		Watson		Female		04.09.1949	11589
49090582441	Adjunct_Professor	Rebecca		Cox		Female		05.09.1949	10265
49090797848	Full_Professor		Linda		Smith		Female		07.09.1949	11323
49090882620	Research_Associate	Logan		Sullivan	Male		08.09.1949	12035
49091007237	Distinguished_Prof	Arthur		James		Male		10.09.1949	11675
49100261499	Adjunct_Professor	Owen		Murphy		Male		02.10.1949	11022
49101111053	Assistant_Professor	Carter		Reed		Male		11.10.1949	10349
49102377602	Distinguished_Prof	Edward		Nelson		Male		23.10.1949	12150
49102778846	Instructor		Maisy		Myers		Female		27.10.1949	11970
49110942136	Assistant_Professor	Jeffrey		Mitchell	Male		09.11.1949	11042
49111122371	Instructor		Calista		Rodriguez	Female		11.11.1949	11663
49111848739	Assistant_Professor	Garrett		Williams	Male		18.11.1949	11955
49120637735	Full_Professor		Cassandra	Wood		Female		06.12.1949	10033
49120975293	Assistant_Professor	Terrance	Allen		Male		09.12.1949	11209
49122323619	Lecturer		James		Bailey		Male		23.12.1949	10310
49122801292	Instructor		Lucy		Gracia		Female		28.12.1949	10087
50010580683	Research_Professor	Sidney		White		Female		05.01.1950	11549
50011427736	Research_Associate	Carter		Rogers		Male		14.01.1950	11270
50011893357	Instructor		Sherri		Mitchell	Female		18.01.1950	11623
50012053271	Lecturer		David		Foster		Male		20.01.1950	11699
50012277605	Instructor		Adam		Perry		Male		22.01.1950	11121
50020853858	Instructor		Patricia	Jones		Female		08.02.1950	10853
50021165327	Associate_Professor	Emily		Robinson	Female		11.02.1950	10499
50021311838	Lecturer		James		Turner		Male		13.02.1950	11351
50021400134	Adjunct_Professor	Brian		King		Male		14.02.1950	10218
50021529801	Research_Associate	Sherri		Roberts		Female		15.02.1950	10090
50022606861	Research_Professor	Andrew		Murphy		Male		26.02.1950	11155
50030640510	Full_Professor		Paul		Fisher		Male		06.03.1950	10485
50030901724	Research_Professor	Brad		Morris		Male		09.03.1950	12082
50031140381	Research_Professor	James		Powell		Male		11.03.1950	11634
50032039581	Assistant_Professor	Elana		Miller		Female		20.03.1950	10196
50032525467	Distinguished_Prof	Michael		Morris		Male		25.03.1950	10806
50040309406	Instructor		Luke		Johnson		Male		03.04.1950	10057
50041277180	Distinguished_Prof	Lauren		Thompson	Female		12.04.1950	12004
50041570373	Instructor		Gregory		Walker		Male		15.04.1950	10156
50041773047	Lecturer		Arthur		Bell		Male		17.04.1950	11358
50042268711	Endowed_Prof		Abby		Brooks		Female		22.04.1950	11181
50051357458	Lecturer		Sophie		Thompson	Female		13.05.1950	10001
50051448744	Instructor		Martin		Flores		Male		14.05.1950	10412
50061065544	Distinguished_Prof	Martin		Johnson		Male		10.06.1950	12067
50061376217	Full_Professor		Simon		Cruz		Male		13.06.1950	10671
50061634967	Endowed_Prof		Gary		Powell		Male		16.06.1950	10687
50062481970	Adjunct_Professor	Charlotte	Perez		Female		24.06.1950	11508
50070103356	Associate_Professor	Roselle		Lopez		Female		01.07.1950	10793
50070126849	Lecturer		Nathan		Perez		Male		01.07.1950	10417
50072531544	Instructor		Adam		Myers		Male		25.07.1950	11372
50072827947	Assistant_Professor	James		Perry		Male		28.07.1950	10401
50072950302	Research_Associate	Fiora		Hughes		Female		29.07.1950	10446
50081617981	Instructor		Fiora		Rivera		Female		16.08.1950	11444
50082205028	Associate_Professor	George		Cook		Male		22.08.1950	11684
50082378841	Endowed_Prof		Frederick	Walker		Male		23.08.1950	11883
50082606143	Associate_Professor	Carl		Nguyen		Male		26.08.1950	10940
50082830360	Full_Professor		Lenny		Torres		Male		28.08.1950	10385
50091876642	Adjunct_Professor	Jennifer	Walker		Female		18.09.1950	10062
50091921340	Research_Associate	Kevin		Davis		Male		19.09.1950	10128
50092474128	Assistant_Professor	Jacob		Gonzales	Male		24.09.1950	10453
50092493182	Assistant_Professor	Christopher	Cook		Male		24.09.1950	10533
50092803152	Assistant_Professor	Robert		Davis		Male		28.09.1950	11575
50100216384	Instructor		Lenny		White		Male		02.10.1950	10149
50100567358	Research_Professor	Arthur		Sullivan	Male		05.10.1950	11005
50102419388	Associate_Professor	Zoe		Ramirez		Female		24.10.1950	11431
50102827060	Adjunct_Professor	Dylan		Powell		Male		28.10.1950	10595
50110127415	Research_Associate	Bella		Rivera		Female		01.11.1950	12015
50110836421	Research_Associate	Paul		Edwards		Male		08.11.1950	10202
50111188153	Distinguished_Prof	Alice		Parker		Female		11.11.1950	11285
50111261569	Full_Professor		Arthur		Ross		Male		12.11.1950	10857
50111332874	Adjunct_Professor	Aaron		Russell		Male		13.11.1950	11010
50111368966	Research_Associate	Claire		Wilson		Female		13.11.1950	11809
50111429190	Full_Professor		Lauren		Carter		Female		14.11.1950	10915
50111689346	Adjunct_Professor	Ben		Walker		Male		16.11.1950	11255
50111710767	Instructor		Nicole		Carter		Female		17.11.1950	11546
50112387646	Research_Professor	Owen		Wilson		Male		23.11.1950	10334
50113041011	Full_Professor		Oliver		Miller		Male		30.11.1950	10035
50121490846	Associate_Professor	Joshua		Ramirez		Male		14.12.1950	10645
50121790999	Associate_Professor	Arthur		Perez		Male		17.12.1950	11716
50121834269	Assistant_Professor	Carter		Butler		Male		18.12.1950	10949
50121991851	Distinguished_Prof	Sidney		Ross		Female		19.12.1950	10547
51010422624	Lecturer		Michael		Nelson		Male		04.01.1951	11981
51011423456	Adjunct_Professor	Chloe		Green		Female		14.01.1951	11188
51011865184	Full_Professor		George		Bell		Male		18.01.1951	10081
51021139637	Instructor		Carl		Perry		Male		11.02.1951	10778
51021255283	Research_Professor	Jared		Morris		Male		12.02.1951	10086
51022721930	Associate_Professor	Gregory		Gray		Male		27.02.1951	11746
51022830887	Instructor		Ashley		King		Female		28.02.1951	11541
51030511337	Associate_Professor	Martin		Howard		Male		05.03.1951	11202
51030539208	Instructor		Evan		Ward		Male		05.03.1951	10428
51030731669	Adjunct_Professor	Owen		Richardson	Male		07.03.1951	10050
51031212115	Assistant_Professor	Carter		Collins		Male		12.03.1951	10611
51031429788	Research_Associate	Emma		Harris		Female		14.03.1951	11246
51032359083	Assistant_Professor	Ryan		Wood		Male		23.03.1951	10933
51041602684	Adjunct_Professor	Adam		Scott		Male		16.04.1951	10684
51042463481	Endowed_Prof		Luke		Lewis		Male		24.04.1951	10155
51042505634	Full_Professor		Ginny		Sanchez		Female		25.04.1951	10811
51042566914	Lecturer		Becky		Thomas		Female		25.04.1951	10697
51042766690	Assistant_Professor	Evan		Cox		Male		27.04.1951	11830
51042878127	Research_Professor	Andrew		Fisher		Male		28.04.1951	10821
51050449290	Research_Associate	Luke		Campbell	Male		04.05.1951	10860
51051399192	Endowed_Prof		Hannah		Diaz		Female		13.05.1951	10622
51051597851	Endowed_Prof		Jared		Reyes		Male		15.05.1951	10104
51060428581	Assistant_Professor	Oliver		Gray		Male		04.06.1951	11824
51061453540	Endowed_Prof		Lucy		Gray		Female		14.06.1951	10480
51061763460	Lecturer		Larry		Thompson	Male		17.06.1951	11347
51061851153	Instructor		John		Sullivan	Male		18.06.1951	10748
51062452622	Research_Professor	Sam		Davis		Male		24.06.1951	11055
51062872680	Research_Associate	Nicole		Reed		Female		28.06.1951	11489
51070479695	Adjunct_Professor	Luke		King		Male		04.07.1951	11897
51070655360	Instructor		Becky		Long		Female		06.07.1951	10025
51072088922	Research_Associate	Wanda		Campbell	Female		20.07.1951	11793
51072944126	Endowed_Prof		Garrett		Turner		Male		29.07.1951	11576
51080155018	Lecturer		Dylan		Torres		Male		01.08.1951	11590
51080518903	Endowed_Prof		Andrew		Long		Male		05.08.1951	10348
51080536860	Lecturer		Jack		Turner		Male		05.08.1951	11523
