PESEL		Title			First_name	Last_name	Gender		Date_of_birth	Professor_ID	Professor_e-mail
79092946559	Lecturer		Tom		Kelly		Male		29.9.1979	1454		1454@professor.email.com
56022046563	Full_Professor		Shannon		Foster		Female		20.2.1956	1460		1460@professor.email.com
58103046577	Associate_Professor	Sherri		Perez		Female		30.10.1958	1461		1461@professor.email.com
82020446584	Distinguished_Prof	Ysabel		Walker		Female		4.2.1982	1465		1465@professor.email.com
50012446591	Full_Professor		Samantha	Peterson	Female		24.1.1950	1466		1466@professor.email.com
56081946596	Associate_Professor	Calista		Sullivan	Female		19.8.1956	1473		1473@professor.email.com
54071246601	Distinguished_Prof	Christopher	Taylor		Male		12.7.1954	1482		1482@professor.email.com
61062246610	Instructor		James		Russell		Male		22.6.1961	1490		1490@professor.email.com
50122446617	Lecturer		Clea		Wright		Female		24.12.1950	1498		1498@professor.email.com
58121046627	Full_Professor		Lucy		Butler		Female		10.12.1958	1506		1506@professor.email.com
49031146634	Research_Associate	Tim		Thompson	Male		11.3.1949	1514		1514@professor.email.com
53062446654	Instructor		Rebecca		Price		Female		24.6.1953	1518		1518@professor.email.com
64021246668	Research_Professor	Ben		Mitchell	Male		12.2.1964	1526		1526@professor.email.com
59021446673	Instructor		Magdalene	Reyes		Female		14.2.1959	1530		1530@professor.email.com
50081746681	Adjunct_Professor	Adrian		Anderson	Male		17.8.1950	1539		1539@professor.email.com
55070746688	Associate_Professor	Sam		Jones		Male		7.7.1955	1545		1545@professor.email.com
52071346707	Research_Professor	Magdalene	Davis		Female		13.7.1952	1555		1555@professor.email.com
79041246725	Assistant_Professor	Zach		Martin		Male		12.4.1979	1559		1559@professor.email.com
78062146739	Instructor		Victoria	Jackson		Female		21.6.1978	1562		1562@professor.email.com
54081846758	Instructor		Nathan		Bailey		Male		18.8.1954	1571		1571@professor.email.com
80020746759	Associate_Professor	Neil		Stewart		Male		7.2.1980	1572		1572@professor.email.com
66020246777	Lecturer		Jennifer	Long		Female		2.2.1966	1574		1574@professor.email.com
81112946788	Lecturer		Evan		Davis		Male		29.11.1981	1579		1579@professor.email.com
49112046800	Full_Professor		Jeffrey		Thompson	Male		20.11.1949	1581		1581@professor.email.com
60062646804	Instructor		Xena		Scott		Female		26.6.1960	1585		1585@professor.email.com
70042346809	Endowed_Prof		Luke		Gutierrez	Male		23.4.1970	1592		1592@professor.email.com
85011746818	Research_Associate	David		King		Male		17.1.1985	1596		1596@professor.email.com
69010146821	Assistant_Professor	Zena		Young		Female		1.1.1969	1599		1599@professor.email.com
58041846828	Full_Professor		Brad		Nelson		Male		18.4.1958	1603		1603@professor.email.com
47062446843	Instructor		Zena		Miller		Female		24.6.1947	1607		1607@professor.email.com
65032246847	Lecturer		Barbara		Peterson	Female		22.3.1965	1617		1617@professor.email.com
62022746849	Full_Professor		Madison		Perry		Female		27.2.1962	1625		1625@professor.email.com
83050546852	Instructor		Sophia		Morales		Female		5.5.1983	1628		1628@professor.email.com
77061746860	Endowed_Prof		Eric		Stewart		Male		17.6.1977	1636		1636@professor.email.com
85110246864	Endowed_Prof		Adam		Gonzales	Male		2.11.1985	1643		1643@professor.email.com
74090346872	Assistant_Professor	Adam		Russell		Male		3.9.1974	1650		1650@professor.email.com
67092646884	Lecturer		Brian		Jones		Male		26.9.1967	1657		1657@professor.email.com
50080846892	Instructor		Brian		Bailey		Male		8.8.1950	1667		1667@professor.email.com
84032046910	Adjunct_Professor	Arthur		Lewis		Male		20.3.1984	1669		1669@professor.email.com
53060546929	Adjunct_Professor	Chloe		Scott		Female		5.6.1953	1678		1678@professor.email.com
74122746931	Instructor		Jason		Wilson		Male		27.12.1974	1683		1683@professor.email.com
67070746941	Research_Associate	Valentina	Cruz		Female		7.7.1967	1688		1688@professor.email.com
66020546946	Research_Associate	Brad		Green		Male		5.2.1966	1696		1696@professor.email.com
75042446957	Adjunct_Professor	Maisy		Myers		Female		24.4.1975	1706		1706@professor.email.com
83042446976	Adjunct_Professor	Edward		Williams	Male		24.4.1983	1714		1714@professor.email.com
75060146979	Research_Associate	Tamia		Baker		Female		1.6.1975	1724		1724@professor.email.com
63022246999	Research_Associate	Carl		Perez		Male		22.2.1963	1725		1725@professor.email.com
74050347004	Adjunct_Professor	Nathan		Jones		Male		3.5.1974	1726		1726@professor.email.com
81121347018	Endowed_Prof		Taya		Young		Female		13.12.1981	1733		1733@professor.email.com
53062247035	Endowed_Prof		Harry		Perez		Male		22.6.1953	1741		1741@professor.email.com
68082747053	Assistant_Professor	Rebecca		Russell		Female		27.8.1968	1745		1745@professor.email.com
47120147060	Adjunct_Professor	Jeffrey		Gomez		Male		1.12.1947	1755		1755@professor.email.com
55110947075	Research_Associate	Tamia		Evans		Female		9.11.1955	1762		1762@professor.email.com
81050147079	Research_Associate	Alice		Ortiz		Female		1.5.1981	1771		1771@professor.email.com
60041147088	Lecturer		Tim		Ward		Male		11.4.1960	1778		1778@professor.email.com
59110147098	Instructor		Sophia		Perez		Female		1.11.1959	1779		1779@professor.email.com
56030947100	Adjunct_Professor	Alice		Hall		Female		9.3.1956	1782		1782@professor.email.com
74062947109	Associate_Professor	Anna		Sanchez		Female		29.6.1974	1791		1791@professor.email.com
53100947124	Instructor		Mary		Roberts		Female		9.10.1953	1795		1795@professor.email.com
47010847125	Endowed_Prof		Tom		Gonzales	Male		8.1.1947	1800		1800@professor.email.com
64120247138	Instructor		Anna		Cox		Female		2.12.1964	1806		1806@professor.email.com
86110947148	Research_Associate	William		Hill		Male		9.11.1986	1811		1811@professor.email.com
56030347161	Research_Associate	Carter		Adams		Male		3.3.1956	1821		1821@professor.email.com
69101947169	Endowed_Prof		Barbara		Taylor		Female		19.10.1969	1831		1831@professor.email.com
50080747179	Endowed_Prof		Lauren		Taylor		Female		7.8.1950	1834		1834@professor.email.com
79110747193	Instructor		Zoe		Sanchez		Female		7.11.1979	1839		1839@professor.email.com
79120147206	Adjunct_Professor	Eric		Collins		Male		1.12.1979	1842		1842@professor.email.com
55040447219	Research_Professor	Adam		Gray		Male		4.4.1955	1846		1846@professor.email.com
83120447231	Research_Associate	Jeffrey		Russell		Male		4.12.1983	1848		1848@professor.email.com
72103047239	Instructor		Simon		Taylor		Male		30.10.1972	1849		1849@professor.email.com
86032147242	Research_Professor	Jason		Torres		Male		21.3.1986	1857		1857@professor.email.com
53123147243	Full_Professor		Zoe		Murphy		Female		31.12.1953	1861		1861@professor.email.com
61121747256	Full_Professor		Logan		Gracia		Male		17.12.1961	1869		1869@professor.email.com
75091847273	Research_Professor	Eric		Foster		Male		18.9.1975	1872		1872@professor.email.com
76080647292	Research_Associate	Sherri		Butler		Female		6.8.1976	1879		1879@professor.email.com
50092047299	Lecturer		William		Johnson		Male		20.9.1950	1883		1883@professor.email.com
47031547302	Instructor		Ryan		Murphy		Male		15.3.1947	1885		1885@professor.email.com
82061747307	Instructor		Megan		Clark		Female		17.6.1982	1888		1888@professor.email.com
50070347316	Distinguished_Prof	Terrance	Barnes		Male		3.7.1950	1890		1890@professor.email.com
71042547329	Endowed_Prof		Chloe		Kelly		Female		25.4.1971	1898		1898@professor.email.com
68061847348	Assistant_Professor	Anthony		Martinez	Male		18.6.1968	1908		1908@professor.email.com
59082047366	Assistant_Professor	Jeffrey		James		Male		20.8.1959	1911		1911@professor.email.com
68021047379	Lecturer		Racherl		Myers		Female		10.2.1968	1916		1916@professor.email.com
51050847382	Assistant_Professor	Edward		Davis		Male		8.5.1951	1921		1921@professor.email.com
74102647385	Adjunct_Professor	Brad		Hill		Male		26.10.1974	1926		1926@professor.email.com
73033147386	Research_Professor	Anna		Martin		Female		31.3.1973	1931		1931@professor.email.com
79062947399	Assistant_Professor	Ryan		Nguyen		Male		29.6.1979	1938		1938@professor.email.com
58011747406	Distinguished_Prof	Joseph		Gutierrez	Male		17.1.1958	1948		1948@professor.email.com
77042247421	Instructor		Amber		Flores		Female		22.4.1977	1952		1952@professor.email.com
47101347426	Full_Professor		Lauren		Bell		Female		13.10.1947	1955		1955@professor.email.com
74011547438	Distinguished_Prof	Aaron		Powell		Male		15.1.1974	1962		1962@professor.email.com
84092847447	Research_Professor	John		Jackson		Male		28.9.1984	1969		1969@professor.email.com
60081747466	Instructor		Clea		Brooks		Female		17.8.1960	1972		1972@professor.email.com
79120647467	Full_Professor		Amy		Bennett		Female		6.12.1979	1978		1978@professor.email.com
81072347471	Assistant_Professor	Megan		Gracia		Female		23.7.1981	1983		1983@professor.email.com
81091247475	Research_Associate	Jake		Anderson	Male		12.9.1981	1984		1984@professor.email.com
59082647478	Research_Associate	Amanda		Perry		Female		26.8.1959	1989		1989@professor.email.com
60080747486	Instructor		Katie		Ward		Female		7.8.1960	1998		1998@professor.email.com
55050447489	Instructor		Zoey		Bennett		Female		4.5.1955	2008		2008@professor.email.com
51051547495	Lecturer		Corina		Ortiz		Female		15.5.1951	2016		2016@professor.email.com
50101647497	Instructor		Paige		Morris		Female		16.10.1950	2023		2023@professor.email.com
83012347512	Full_Professor		Zoey		Adams		Female		23.1.1983	2024		2024@professor.email.com
75052347526	Adjunct_Professor	Katie		Reyes		Female		23.5.1975	2025		2025@professor.email.com
83123047535	Associate_Professor	Abby		Ortiz		Female		30.12.1983	2034		2034@professor.email.com
85121147538	Lecturer		Arthur		Taylor		Male		11.12.1985	2037		2037@professor.email.com
56101047549	Research_Professor	Carter		Evans		Male		10.10.1956	2040		2040@professor.email.com
62112847555	Assistant_Professor	Hannah		Howard		Female		28.11.1962	2041		2041@professor.email.com
56051747572	Associate_Professor	Evan		Roberts		Male		17.5.1956	2043		2043@professor.email.com
60111547573	Distinguished_Prof	Katie		Hill		Female		15.11.1960	2044		2044@professor.email.com
63021247589	Associate_Professor	Alexander	Morgan		Male		12.2.1963	2051		2051@professor.email.com
59041047592	Research_Professor	Amber		Kelly		Female		10.4.1959	2061		2061@professor.email.com
68031547603	Distinguished_Prof	Victoria	Howard		Female		15.3.1968	2067		2067@professor.email.com
77100647620	Associate_Professor	Owen		Edwards		Male		6.10.1977	2076		2076@professor.email.com
65101947629	Associate_Professor	Taya		Cruz		Female		19.10.1965	2080		2080@professor.email.com
86091947642	Research_Professor	Edward		Young		Male		19.9.1986	2087		2087@professor.email.com
49112847645	Adjunct_Professor	Taya		Cooper		Female		28.11.1949	2095		2095@professor.email.com
55053047651	Assistant_Professor	Zach		Gonzales	Male		30.5.1955	2102		2102@professor.email.com
73090547671	Instructor		Oliver		Edwards		Male		5.9.1973	2109		2109@professor.email.com
65012647676	Lecturer		Tim		Morales		Male		26.1.1965	2110		2110@professor.email.com
83051247678	Endowed_Prof		Alice		Morgan		Female		12.5.1983	2112		2112@professor.email.com
50090847690	Adjunct_Professor	Larry		Foster		Male		8.9.1950	2118		2118@professor.email.com
55091447710	Full_Professor		Gary		Wilson		Male		14.9.1955	2121		2121@professor.email.com
84030547723	Lecturer		Simon		Perry		Male		5.3.1984	2130		2130@professor.email.com
54111947738	Adjunct_Professor	Margaret	Sanders		Female		19.11.1954	2132		2132@professor.email.com
76091047752	Research_Professor	Zia		Sanchez		Female		10.9.1976	2135		2135@professor.email.com
67092847761	Distinguished_Prof	Jared		Hill		Male		28.9.1967	2140		2140@professor.email.com
68062747769	Full_Professor		Arthur		Bailey		Male		27.6.1968	2142		2142@professor.email.com
66052747780	Distinguished_Prof	Roselle		Price		Female		27.5.1966	2146		2146@professor.email.com
70012247796	Research_Professor	Gareth		Jackson		Male		22.1.1970	2149		2149@professor.email.com
77022847816	Distinguished_Prof	Evan		Williams	Male		28.2.1977	2157		2157@professor.email.com
70110447828	Research_Associate	Harry		Jones		Male		4.11.1970	2158		2158@professor.email.com
78100647838	Research_Associate	Terrance	Lewis		Male		6.10.1978	2163		2163@professor.email.com
80032847845	Assistant_Professor	Steven		Price		Male		28.3.1980	2164		2164@professor.email.com
67092847861	Full_Professor		Evan		Lewis		Male		28.9.1967	2172		2172@professor.email.com
53082347873	Lecturer		Sophie		Miller		Female		23.8.1953	2175		2175@professor.email.com
74101047890	Instructor		Mary		Evans		Female		10.10.1974	2178		2178@professor.email.com
64123047894	Endowed_Prof		Susan		Ortiz		Female		30.12.1964	2182		2182@professor.email.com
59012947911	Associate_Professor	Emma		Thomas		Female		29.1.1959	2183		2183@professor.email.com
65013147927	Distinguished_Prof	Rebecca		Barnes		Female		31.1.1965	2191		2191@professor.email.com
48080647936	Associate_Professor	Darren		Evans		Male		6.8.1948	2200		2200@professor.email.com
82081447943	Research_Professor	Brad		Moore		Male		14.8.1982	2201		2201@professor.email.com
76052847962	Full_Professor		Abby		Nelson		Female		28.5.1976	2208		2208@professor.email.com
81071147964	Instructor		Alice		Anderson	Female		11.7.1981	2213		2213@professor.email.com
60091847973	Distinguished_Prof	Marvin		Martinez	Male		18.9.1960	2221		2221@professor.email.com
76081547990	Instructor		Donny		Ward		Male		15.8.1976	2222		2222@professor.email.com
47013048006	Associate_Professor	Jacob		Robinson	Male		30.1.1947	2232		2232@professor.email.com
60082848022	Full_Professor		Carl		Baker		Male		28.8.1960	2242		2242@professor.email.com
58060548028	Distinguished_Prof	Zoe		Bailey		Female		5.6.1958	2248		2248@professor.email.com
72021148035	Endowed_Prof		Carl		Morris		Male		11.2.1972	2250		2250@professor.email.com
58062248048	Assistant_Professor	Sherri		Cook		Female		22.6.1958	2251		2251@professor.email.com
83061748060	Instructor		Claire		Edwards		Female		17.6.1983	2260		2260@professor.email.com
80032248074	Research_Professor	Lenny		Flores		Male		22.3.1980	2262		2262@professor.email.com
86050948082	Research_Associate	Magdalene	Cruz		Female		9.5.1986	2269		2269@professor.email.com
56062148084	Endowed_Prof		Ysabel		Lee		Female		21.6.1956	2273		2273@professor.email.com
66111148103	Distinguished_Prof	Abby		Morales		Female		11.11.1966	2274		2274@professor.email.com
77013148118	Assistant_Professor	Claire		Long		Female		31.1.1977	2283		2283@professor.email.com
74030948119	Research_Associate	Evan		Edwards		Male		9.3.1974	2293		2293@professor.email.com
74011748120	Full_Professor		Amanda		Edwards		Female		17.1.1974	2298		2298@professor.email.com
72080548136	Distinguished_Prof	Wanda		Gutierrez	Female		5.8.1972	2300		2300@professor.email.com
57010348153	Research_Associate	Jack		Evans		Male		3.1.1957	2305		2305@professor.email.com
75092348161	Instructor		Dorothy		Gomez		Female		23.9.1975	2306		2306@professor.email.com
65121548171	Associate_Professor	Owen		Cruz		Male		15.12.1965	2316		2316@professor.email.com
84010648178	Full_Professor		Charlotte	Thomas		Female		6.1.1984	2323		2323@professor.email.com
54091748181	Research_Associate	David		Watson		Male		17.9.1954	2329		2329@professor.email.com
77022748184	Associate_Professor	Anna		Adams		Female		27.2.1977	2330		2330@professor.email.com
80042048200	Associate_Professor	Donny		Moore		Male		20.4.1980	2334		2334@professor.email.com
73092848217	Endowed_Prof		Ashley		Green		Female		28.9.1973	2337		2337@professor.email.com
63062648231	Adjunct_Professor	Sophie		Anderson	Female		26.6.1963	2343		2343@professor.email.com
72032948236	Research_Associate	Megan		Sanchez		Female		29.3.1972	2350		2350@professor.email.com
60020748246	Assistant_Professor	Anna		Ortiz		Female		7.2.1960	2351		2351@professor.email.com
76052248256	Associate_Professor	Ashley		Johnson		Female		22.5.1976	2360		2360@professor.email.com
47100448262	Research_Associate	Abby		Hughes		Female		4.10.1947	2369		2369@professor.email.com
81090648263	Assistant_Professor	Neil		James		Male		6.9.1981	2378		2378@professor.email.com
63041148273	Full_Professor		Dylan		Sanders		Male		11.4.1963	2383		2383@professor.email.com
69061748280	Instructor		Neil		Sullivan	Male		17.6.1969	2386		2386@professor.email.com
76042448285	Lecturer		Sarah		Sullivan	Female		24.4.1976	2393		2393@professor.email.com
73111348303	Associate_Professor	Adam		Young		Male		13.11.1973	2400		2400@professor.email.com
69041648308	Associate_Professor	Emma		Morgan		Female		16.4.1969	2410		2410@professor.email.com
83032948309	Assistant_Professor	Amy		Foster		Female		29.3.1983	2414		2414@professor.email.com
84062748314	Research_Professor	Gareth		Myers		Male		27.6.1984	2419		2419@professor.email.com
67103148333	Assistant_Professor	Hannah		Butler		Female		31.10.1967	2422		2422@professor.email.com
61122748350	Distinguished_Prof	Oliver		Adams		Male		27.12.1961	2432		2432@professor.email.com
84051148364	Endowed_Prof		Victoria	Foster		Female		11.5.1984	2434		2434@professor.email.com
64032348370	Research_Associate	Lucy		Sanchez		Female		23.3.1964	2444		2444@professor.email.com
51020548378	Distinguished_Prof	Emily		Evans		Female		5.2.1951	2450		2450@professor.email.com
75063048382	Assistant_Professor	Rebecca		Torres		Female		30.6.1975	2452		2452@professor.email.com
77010148402	Associate_Professor	Brad		Wilson		Male		1.1.1977	2459		2459@professor.email.com
55061548410	Lecturer		Edward		Ward		Male		15.6.1955	2468		2468@professor.email.com
76021848422	Distinguished_Prof	Mary		Martin		Female		18.2.1976	2474		2474@professor.email.com
68041448440	Adjunct_Professor	Oliver		Martinez	Male		14.4.1968	2484		2484@professor.email.com
77062048458	Distinguished_Prof	Terrance	Wood		Male		20.6.1977	2489		2489@professor.email.com
78011048464	Distinguished_Prof	Nicole		James		Female		10.1.1978	2494		2494@professor.email.com
50070948473	Distinguished_Prof	Ashley		Thompson	Female		9.7.1950	2504		2504@professor.email.com
82111448485	Full_Professor		Calista		Price		Female		14.11.1982	2511		2511@professor.email.com
64113048500	Research_Associate	Calista		Lopez		Female		30.11.1964	2516		2516@professor.email.com
53042148507	Full_Professor		Simon		Foster		Male		21.4.1953	2520		2520@professor.email.com
